2026-05-23 13:42:32 | ERROR | app | nodes.py:199 | section_llm() | Section Node Error: 'Input to ChatPromptTemplate is missing variables {\'\\n  "Id"\'}.  Expected: [\'\\n  "Id"\', \'company_profile_text\', \'constitution_file\', \'specification_file\', \'validation_feedback\'] Received: [\'company_profile_text\', \'constitution_file\', \'specification_file\', \'validation_feedback\']\nNote: if you intended {\n  "Id"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n  "Id"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-05-23 13:42:32 | INFO | app | nodes.py:213 | validation_agent() | Running Validation Agent...
2026-05-23 13:42:32 | INFO | app | nodes.py:161 | section_llm() | Running Section Generator Node...
2026-05-23 13:42:32 | ERROR | app | nodes.py:199 | section_llm() | Section Node Error: 'Input to ChatPromptTemplate is missing variables {\'\\n  "Id"\'}.  Expected: [\'\\n  "Id"\', \'company_profile_text\', \'constitution_file\', \'specification_file\', \'validation_feedback\'] Received: [\'company_profile_text\', \'constitution_file\', \'specification_file\', \'validation_feedback\']\nNote: if you intended {\n  "Id"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n  "Id"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-05-23 13:42:32 | INFO | app | nodes.py:213 | validation_agent() | Running Validation Agent...
2026-05-23 13:45:35 | INFO | app | nodes.py:16 | load_company_details() | Load Company Details Node Started...
2026-05-23 13:45:40 | INFO | app | nodes.py:36 | load_company_details() | load_company_details completed
2026-05-23 13:45:40 | INFO | app | nodes.py:53 | constitution_llm() | Constitution Node Running...
2026-05-23 13:45:59 | INFO | app | nodes.py:64 | constitution_llm() | Constitution Generated Successfully
2026-05-23 13:45:59 | INFO | app | nodes.py:161 | section_llm() | Running Section Generator Node...
2026-05-23 13:46:14 | INFO | app | nodes.py:188 | section_llm() | Section Extracted Successfully
2026-05-23 13:46:14 | INFO | app | nodes.py:213 | validation_agent() | Running Validation Agent...
2026-05-23 13:46:14 | INFO | app | nodes.py:161 | section_llm() | Running Section Generator Node...
2026-05-23 13:46:28 | INFO | app | nodes.py:188 | section_llm() | Section Extracted Successfully
2026-05-23 13:46:28 | INFO | app | nodes.py:213 | validation_agent() | Running Validation Agent...
2026-05-23 14:17:54 | INFO | app | nodes.py:16 | load_company_details() | Load Company Details Node Started...
2026-05-23 14:17:59 | INFO | app | nodes.py:36 | load_company_details() | load_company_details completed
2026-05-23 14:17:59 | INFO | app | nodes.py:53 | constitution_llm() | Constitution Node Running...
2026-05-23 14:18:27 | INFO | app | nodes.py:64 | constitution_llm() | Constitution Generated Successfully
2026-05-23 14:18:27 | INFO | app | nodes.py:161 | section_llm() | Running Section Generator Node...
2026-05-23 14:18:44 | INFO | app | nodes.py:188 | section_llm() | Section Extracted Successfully
2026-05-23 14:18:44 | INFO | app | nodes.py:213 | validation_agent() | Running Validation Agent...
2026-05-23 14:18:44 | INFO | app | nodes.py:161 | section_llm() | Running Section Generator Node...
2026-05-23 14:19:01 | INFO | app | nodes.py:188 | section_llm() | Section Extracted Successfully
2026-05-23 14:19:01 | INFO | app | nodes.py:213 | validation_agent() | Running Validation Agent...
2026-05-24 01:01:51 | INFO | app | nodes.py:16 | load_company_details() | Load Company Details Node Started...
2026-05-24 01:01:55 | INFO | app | nodes.py:36 | load_company_details() | load_company_details completed
2026-05-24 01:01:55 | INFO | app | nodes.py:53 | constitution_llm() | Constitution Node Running...
